,lat,lon
1,39.768403,-86.158068
2,19.45409,-70.6922025
3,51.253775,-85.323214
4,39.9525839,-75.1652215
5,19.0414398,-98.2062727
6,38.3498195,-81.6326234
7,40.2677539,-74.5402506
8,43.7844397,-88.7878678
9,38.3498195,-81.6326234
10,38.882334,-77.1710914
11,33.7489954,-84.3879824
12,43.653226,-79.3831843
13,4.5350004,-75.6756888
14,40.6916132,-112.0010501
15,49.3199816,-123.0724139
16,41.2084278,-73.8912481
17,42.3600825,-71.0588801
18,38.9071923,-77.0368707
19,45.5016889,-73.567256
20,40.8447819,-73.8648268
21,44.5588028,-72.5778415
22,36.155263,-86.8140144
23,39.5500507,-105.7820674
24,51.253775,-85.323214
25,33.952602,-84.5499327
26,35.9131996,-79.0558445
27,17.0731842,-96.7265889
28,39.1031182,-84.5120196
29,44.977753,-93.2650108
30,39.8422093,-75.1969346
31,39.8422093,-75.1969346
32,21.161908,-86.8515279
33,18.4655394,-66.1057355
34,42.6525793,-73.7562317
35,40.8652865,-74.4173877
36,41.2375569,-80.8184166
37,43.7844397,-88.7878678
38,43.1759107,-72.0967507
39,51.253775,-85.323214
40,43.653226,-79.3831843
41,19.318154,-98.2374954
42,40.8652865,-74.4173877
43,43.653226,-79.3831843
44,45.4215296,-75.6971931
45,45.4215296,-75.6971931
46,39.0457549,-76.6412712
47,44.9537029,-93.0899578
48,40.5695474,-74.6329363
49,39.6837226,-75.7496572
50,44.977753,-93.2650108
51,40.0466571,-76.1783739
52,30.627977,-96.3344068
53,42.0333607,-88.0834059
54,26.9342246,-80.0942087
55,26.9342246,-80.0942087
56,34.8526176,-82.3940104
57,39.7392358,-104.990251
58,42.3600825,-71.0588801
59,43.2557206,-79.8711024
60,43.653226,-79.3831843
61,35.20105,-91.8318334
62,43.653226,-79.3831843
63,44.4758825,-73.212072
64,34.1954331,-79.7625625
65,40.1798165,-76.1788391
66,43.3700007,-80.9822286
67,48.4758208,-81.3304953
68,39.7392358,-104.990251
69,42.3600825,-71.0588801
70,39.2903848,-76.6121893
71,40.7127753,-74.0059728
72,34.9553719,-90.0348139
73,42.167019,-76.8205119
74,40.7127753,-74.0059728
75,44.766667,-79.333333
76,37.5407246,-77.4360481
77,44.0121221,-92.4801989
78,4.7109886,-74.072092
79,42.6525793,-73.7562317
80,45.6226605,-61.9928026
81,38.8816208,-77.0909809
82,36.1023715,-115.1745559
83,48.856614,2.3522219
84,42.3600825,-71.0588801
85,42.3736158,-71.1097335
86,59.3293235,18.0685808
87,40.7198073,-73.9962972
88,42.3600825,-71.0588801
89,46.3089891,-124.0432099
90,5.6037168,-0.1869644
91,39.1836082,-96.5716694
92,45.2500909,-74.1330862
93,33.9462125,-84.3346473
94,39.7392358,-104.990251
95,43.653226,-79.3831843
96,40.7607793,-111.8910474
97,39.5150576,-84.3982763
98,41.1014451,-81.441779
99,49.895136,-97.1383744
100,27.6648274,-81.5157535
101,35.5174913,-86.5804473
102,43.8975446,-78.9429329
