,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1374,"RT @Salud_Hidalgo: La vacuna contra la #Influenza es segura y gratuita. Embarazadas y adultos mayores, es importante que acudan a la unidad…",FALSE,0,NA,3/7/2018 16:14,FALSE,NA,9.71419E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DrJosFrancisco1,14,TRUE,FALSE,NA,NA
1375,"RT @ASMicrobiology: “Our credibility is the most precious thing we have as scientists and we have to do whatever we can do defend it, but w…",FALSE,0,NA,3/7/2018 16:13,FALSE,NA,9.71419E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JulieMarieWolf,7,TRUE,FALSE,NA,NA
1376,"RT @ThomasMHern: The leading causes of death in the United States:
-Heart Disease
-Cancer
-Respiratory Disease
-Car Accidents
-Stroke
-Alzh…",FALSE,0,NA,3/7/2018 16:13,FALSE,NA,9.71419E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",SundayGirl727,204,TRUE,FALSE,NA,NA
1377,"New Product Offers Day One Vaccination for #swine Influenza A
https://t.co/tBqiFFvZAR",FALSE,0,NA,3/7/2018 16:13,FALSE,NA,9.71418E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FJ_PORK,0,FALSE,FALSE,NA,NA
1378,RT @ASMicrobiology: Mechanisms of Ab-mediated inhibition of influenza virus infection are highly dependent on the specific target epitope @…,FALSE,0,NA,3/7/2018 16:06,FALSE,NA,9.71417E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",SaubashyaSur,8,TRUE,FALSE,NA,NA
1379,"La sesión clínica de hoy tuvo como ponente a la Dr. Gilberto Martínez Hernández, quien expuso el tema de influenza. https://t.co/8YluNEcl6B",FALSE,3,NA,3/7/2018 16:06,FALSE,NA,9.71417E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DrJuanGraham,1,FALSE,FALSE,NA,NA
1380,RT @PopSci: Influenza B is trying to escape our vaccine https://t.co/23aW69iFD5 https://t.co/5kv8RVpvdD,FALSE,0,NA,3/7/2018 16:06,FALSE,NA,9.71417E+17,NA,"<a href=""http://nosudo.co"" rel=""nofollow"">QxNews-python</a>",QxNews,5,TRUE,FALSE,NA,NA
1381,Funding must be continued for @GHSAgenda. Watch this short video https://t.co/7xtXzxl3hT and take action.  Without… https://t.co/Johi67e1e8,FALSE,2,NA,3/7/2018 16:06,TRUE,NA,9.71417E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",dbarash,1,FALSE,FALSE,NA,NA
1382,RT @PopSci: Influenza B is trying to escape our vaccine https://t.co/23aW69iFD5 https://t.co/5kv8RVpvdD,FALSE,0,NA,3/7/2018 16:06,FALSE,NA,9.71417E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",missjoy1965,5,TRUE,FALSE,NA,NA
1383,"The epidemics of influenza, varying in intensity, occurred during that short time ago, that it frequently changes t… https://t.co/X5vsKSyzYn",FALSE,0,NA,3/7/2018 16:05,TRUE,NA,9.71416E+17,NA,"<a href=""https://www.twitter.com"" rel=""nofollow"">Davidson College Weather Bot</a>",WeatherDavidson,0,FALSE,FALSE,NA,NA
1384,RT @ACSHorg: Mild cases of influenza that occur in the spring or summer may be a harbinger of impending doom. Beware the herald wave. By @A…,FALSE,0,NA,3/7/2018 16:04,FALSE,NA,9.71416E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",HankCampbell,2,TRUE,FALSE,NA,NA
1385,RT @ASMicrobiology: Mechanisms of Ab-mediated inhibition of influenza virus infection are highly dependent on the specific target epitope @…,FALSE,0,NA,3/7/2018 16:03,FALSE,NA,9.71416E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Carloszuritato2,8,TRUE,FALSE,NA,NA
1386,RT @bacifinoaridere: Vorrei un sacco prendermi più cura di me ma non so al momento ho l'umore molto a terra e questo influenza la mia vogli…,FALSE,0,NA,3/7/2018 16:03,FALSE,NA,9.71416E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",loveartyoongi,4,TRUE,FALSE,NA,NA
1387,RT @PopSci: Influenza B is trying to escape our vaccine https://t.co/23aW69iFD5 https://t.co/5kv8RVpvdD,FALSE,0,NA,3/7/2018 16:03,FALSE,NA,9.71416E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bankesty,5,TRUE,FALSE,NA,NA
